"CITY","STATE","COUNTRY","GENDER","AGE","MARITAL_STATUS","PROFESSION","REPELLENT_NEGTWEETS","REPELLENT","TENT"
"Leoben","NA","Austria","M","31","Married","Executive","5","false","true"
"Silkeborg","NA","Denmark","F","42","Unspecified","Hospitality","0","true","false"
"Niterói","BR-RJ","Brazil","F","34","Single","Retail","4","true","false"
"Hillingdon","NA","United Kingdom","M","28","Single","Professional","9","false","true"
"Perth","WA","Australia","F","41","Married","Other","8","false","true"
"Sapporo-shi","???","Japan","F","34","Single","Retail","2","true","false"
"Le Havre","NA","France","F","37","Unspecified","Hospitality","7","false","true"
"Saratov","NA","Russia","M","22","Single","Professional","9","false","true"
"Essen","NA","Germany","M","27","Single","Trades","7","false","true"
"Wadsworth","OH","United States","M","34","Married","Other","2","false","true"
"Bari","NA","Italy","M","25","Single","Other","7","false","true"
"Cheongju","NA","Korea","M","23","Single","Trades","3","false","true"
"Petrópolis","BR-RJ","Brazil","F","20","Single","Other","1","true","false"
"Volchansk","NA","Russia","F","41","Married","Other","3","true","true"
"Saint Petersburg","NA","Russia","M","44","Married","Sales","6","false","true"
"Canberra","ACT","Australia","M","19","Single","Other","4","false","true"
"Manaus","BR-AM","Brazil","F","33","Married","Other","7","false","true"
"Arnhem","NA","Netherlands","M","21","Single","Professional","3","false","true"
"Le Mans","NA","France","M","27","Single","Trades","4","false","true"
"Hadano","NA","Japan","F","27","Married","Other","2","true","false"
"Torreón","NA","Mexico","M","32","Single","Other","4","false","true"
"Hiroshima","NA","Japan","F","37","Married","Other","1","true","true"
"Campinas","BR-SP","Brazil","M","30","Single","Student","5","false","true"
"Renton","WA","United States","M","23","Single","Trades","3","false","true"
"Porto Alegre","BR-RS","Brazil","M","25","Single","Sales","7","false","true"
"Anchorage","AK","United States","F","22","Married","Other","2","true","false"
"Saugus","MA","United States","M","22","Single","Professional","3","false","true"
"Zapopan","NA","Mexico","M","38","Single","Sales","4","false","true"
"Graz","NA","Austria","F","34","Married","Executive","2","true","false"
"Westport","ON","Canada","F","42","Unspecified","Hospitality","8","false","true"
"Stuttgart","NA","Germany","M","22","Single","Other","6","false","true"
"Leipzig","NA","Germany","M","43","Married","Sales","8","false","true"
"Melbourne","FL","United States","M","19","Single","Professional","6","false","true"
"São João de Meriti","BR-RJ","Brazil","M","23","Single","Other","7","false","true"
"Rio de Janeiro","BR-RJ","Brazil","F","38","Married","Other","3","true","false"
"Dresden","NA","Germany","M","19","Single","Student","7","false","true"
"Beijing","NA","China","F","46","Married","Hospitality","3","true","false"
"Charleroi","NA","Belgium","M","24","Single","Professional","3","false","true"
"Chennai","NA","India","M","23","Single","Student","7","false","true"
"Virginia Beach","VA","United States","F","26","Single","Professional","10","false","true"
"Brisbane","Qld","Australia","M","27","Single","Professional","9","false","true"
"Chiba","NA","Japan","M","24","Single","Other","6","false","true"
"Overland Park","KS","United States","M","38","Married","Sales","2","false","true"
"Kalispell","MT","United States","M","36","Married","Sales","0","true","false"
"Braunschweig","NA","Germany","M","24","Single","Other","6","false","true"
"Banglore","KA","India","F","20","Married","Other","2","true","false"
"Ufa","NA","Russia","M","22","Single","Sales","8","false","true"
"Bonn","NA","Germany","M","25","Single","Professional","8","false","true"
"Dordrecht","NA","Netherlands","F","30","Married","Retail","0","true","false"
"Singapore","Singapore","Singapore","M","21","Single","Trades","8","false","true"
"Springfield","VA","United States","M","31","Married","Sales","8","false","true"
"Cangzhou","NA","China","F","28","Single","Other","5","false","true"
"Salt Lake City","UT","United States","M","25","Single","Other","9","false","true"
"Bordeaux","NA","France","M","20","Single","Sales","8","false","true"
"Newham","NA","United Kingdom","M","34","Married","Trades","6","false","true"
"Shanghai","NA","China","M","42","Married","Other","3","true","false"
"Timóteo","BR-MG","Brazil","F","39","Married","Other","2","true","false"
"Trois-Rivières","QC","Canada","M","24","Single","Professional","2","false","true"
"Århus","NA","Denmark","F","33","Married","Retail","3","true","false"
"Skive","NA","Denmark","M","28","Single","Sales","7","false","true"
"Essen","NA","Germany","M","22","Single","Other","5","false","true"
"São Paulo","BR-SP","Brazil","F","26","Single","Other","10","false","true"
"Taos","NM","United States","M","25","Single","Trades","6","false","true"
"Chongqing","NA","China","M","32","Married","Trades","9","false","true"
"Fukuoka","NA","Japan","M","29","Single","Executive","5","false","true"
"Chicago","IL","United States","M","24","Single","Professional","7","false","true"
"Burbank","CA","United States","M","33","Single","Other","6","false","true"
"Fredericia","NA","Denmark","M","29","Single","Sales","9","false","true"
"Sydney","NSW","Australia","M","25","Single","Professional","6","false","true"
"Zaragoza","NA","Spain","M","25","Single","Other","3","false","true"
"Brussel","NA","Belgium","M","24","Single","Other","5","false","true"
"Sydney","NSW","Australia","F","44","Married","Other","6","false","true"
"Denver","CO","United States","M","32","Single","Trades","11","false","true"
"São Paulo","BR-SP","Brazil","F","36","Married","Retail","1","true","true"
"Salerno","SA","Italy","F","39","Married","Other","5","false","true"
"Schladming","NA","Austria","M","40","Married","Sales","6","false","true"
"Cangzhou","NA","China","M","24","Single","Trades","4","false","true"
"Perth","WA","Australia","M","23","Single","Trades","6","false","true"
"Suwon","NA","Korea","F","32","Married","Executive","8","false","true"
"Hong Kong","NA","China","F","40","Unspecified","Hospitality","6","false","true"
"Victoria","NA","Mexico","M","39","Married","Professional","7","false","true"
"Sendai","NA","Japan","M","30","Single","Sales","11","false","true"
"Bogalusa","LA","United States","F","37","Unspecified","Hospitality","8","false","true"
"Sikar","RJ","India","M","29","Single","Executive","8","false","true"
"Schoten","NA","Belgium","M","27","Single","Other","4","false","true"
"Nanaimo","BC","Canada","M","22","Single","Trades","11","false","true"
"Trois-Rivières","QC","Canada","M","39","Single","Sales","9","false","true"
"Lausanne","NA","Switzerland","M","33","Married","Sales","6","false","true"
"Brooklyn","NY","United States","M","29","Single","Other","9","false","true"
"Nago","NA","Japan","F","33","Married","Other","5","false","true"
"Lowestoft","NA","United Kingdom","F","38","Married","Other","4","false","true"
"Liverpool","NA","United Kingdom","M","31","Single","Professional","8","false","true"
"Dresden","NA","Germany","M","27","Single","Trades","7","false","true"
"Tours","NA","France","F","33","Married","Executive","6","false","true"
"Shijiazhuang","NA","China","M","35","Married","Other","5","false","true"
"Edmonton","AB","Canada","F","34","Single","Retail","2","true","false"
"Limoges","NA","France","F","45","Married","Other","0","true","true"
"Regensburg","NA","Germany","M","23","Single","Professional","8","false","true"
"Oviedo","O","Spain","M","44","Married","Sales","3","false","true"
"Colorado Springs","CO","United States","F","25","Married","Retail","3","true","false"
"Boston","MA","United States","M","21","Single","Trades","6","false","true"
"Beijing","NA","China","M","22","Single","Trades","6","false","true"
"Franklin Park","IL","United States","F","32","Unspecified","Other","0","true","false"
"Fuxin","NA","China","M","43","Married","Sales","6","false","true"
"Linz","NA","Austria","M","28","Married","Professional","5","false","true"
"Sydney","NSW","Australia","M","39","Married","Executive","3","false","true"
"Frederikshavn","NA","Denmark","M","26","Single","Executive","5","false","true"
"Montpellier","NA","France","F","33","Married","Hospitality","6","false","true"
"Shijiazhuang","NA","China","M","39","Married","Other","3","false","true"
"Jacksonville","FL","United States","F","44","Unspecified","Hospitality","8","false","true"
"Brussel","NA","Belgium","M","29","Single","Professional","6","false","true"
"Moncton","NB","Canada","F","31","Married","Executive","1","true","false"
"Manzanilo","NA","Mexico","M","33","Married","Sales","7","false","true"
"Sydney","NSW","Australia","F","22","Single","Other","3","true","false"
"Maanshan","NA","China","F","22","Married","Retail","1","true","true"
"Canberra","ACT","Australia","M","41","Married","Sales","6","false","true"
"New Delhi","DL","India","M","21","Single","Professional","7","false","true"
"Chengdu","NA","China","M","41","Married","Executive","6","false","true"
"Angers","NA","France","M","19","Single","Other","6","false","true"
"Groningen","NA","Netherlands","F","20","Married","Other","2","true","false"
"Exeter","NA","United Kingdom","M","34","Single","Other","8","false","true"
"Västerås","NA","Sweden","M","37","Married","Trades","5","false","true"
"Niquelândia","BR-GO","Brazil","M","33","Married","Trades","8","false","true"
"Shimonoseki","NA","Japan","F","34","Married","Other","6","false","true"
"São João de Meriti","BR-RJ","Brazil","M","20","Single","Sales","8","false","true"
"Singapore","Singapore","Singapore","F","46","Unspecified","Hospitality","1","true","false"
"Wenatchee","WA","United States","M","19","Single","Trades","4","false","true"
"Genève","NA","Switzerland","F","49","Married","Other","0","true","false"
"Piteå","NA","Sweden","F","47","Unspecified","Hospitality","1","true","false"
"Portland","OR","United States","F","37","Married","Other","3","true","false"
"Bromley","NA","United Kingdom","M","20","Single","Professional","1","true","false"
"Lawrenceville","GA","United States","M","19","Single","Other","6","false","true"
"Melbourne","Vic","Australia","M","21","Single","Trades","5","false","true"
"Flin Flon","MB","Canada","M","38","Married","Other","2","true","false"
"Frederikshavn","NA","Denmark","M","26","Single","Other","5","false","true"
"León","NA","Mexico","M","40","Married","Other","6","false","true"
"Utrecht","NA","Netherlands","M","34","Single","Trades","8","false","true"
"Millstatt","NA","Austria","M","31","Married","Sales","4","false","true"
"Sakai","NA","Japan","F","42","Married","Other","2","true","false"
"Lexington","KY","United States","M","19","Single","Professional","4","false","true"
"Frogmore","NA","United Kingdom","F","20","Single","Other","1","true","false"
"Banglore","KA","India","F","39","Married","Other","6","false","true"
"Singapore","Singapore","Singapore","F","27","Single","Other","9","false","true"
"Vösendorf","NA","Austria","F","24","Married","Other","3","true","false"
"Camborne","NA","United Kingdom","F","40","Unspecified","Hospitality","2","true","true"
"Greensboro","NC","United States","M","23","Single","Trades","4","false","true"
"Amsterdam","NA","Netherlands","M","20","Single","Sales","6","false","true"
"Grenoble","NA","France","M","20","Single","Other","4","false","true"
"Fernie","BC","Canada","F","45","Married","Other","2","true","true"
"Fredericia","NA","Denmark","F","35","Unspecified","Other","0","true","false"
"Toledo","NA","Spain","F","30","Married","Retail","2","true","false"
"Fort Hood","TX","United States","M","34","Married","Executive","7","false","true"
"Guarulhos","BR-SP","Brazil","M","23","Single","Sales","5","false","true"
"Renton","WA","United States","M","28","Single","Sales","7","false","true"
"Greenwhich","NA","United Kingdom","F","32","Married","Other","0","true","false"
"Helsinki","NA","Finland","F","34","Married","Executive","10","false","true"
"Nässjö","NA","Sweden","M","29","Single","Trades","8","false","true"
"Viborg","NA","Denmark","F","38","Unspecified","Other","5","false","true"
"Eastbourne","NA","United Kingdom","M","31","Single","Other","3","false","true"
"Sion","NA","Switzerland","F","30","Married","Hospitality","5","false","true"
"Chicago","IL","United States","F","31","Married","Other","5","false","true"
"Leipzig","NA","Germany","M","26","Single","Executive","5","false","true"
"Oakland","CA","United States","M","26","Single","Other","5","false","true"
"Woodcote","NA","United Kingdom","M","33","Single","Professional","9","false","true"
"Salerno","SA","Italy","M","28","Single","Trades","7","false","true"
"Charlottetown","PE","Canada","M","59","Married","Trades","1","true","false"
"Genève","NA","Switzerland","M","23","Single","Executive","4","false","true"
"Würzburg","NA","Germany","M","27","Single","Trades","5","false","true"
"Kyoto","NA","Japan","M","20","Single","Other","9","false","true"
"Fuquay Varina","NC","United States","M","28","Single","Trades","5","false","true"
"Amiens","NA","France","F","47","Married","Executive","7","false","true"
"Madison","TN","United States","M","36","Married","Sales","2","true","true"
"Petrópolis","BR-RJ","Brazil","M","27","Single","Professional","9","false","true"
"Atlanta","GA","United States","F","47","Married","Other","2","true","false"
"Rio de Janeiro","BR-RJ","Brazil","M","22","Single","Other","9","false","true"
"Shanghai","NA","China","M","20","Single","Other","9","false","true"
"Zapopan","NA","Mexico","M","21","Single","Other","8","false","true"
"Düsseldorf","NA","Germany","F","39","Married","Executive","1","true","true"
"Rio de Janeiro","BR-RJ","Brazil","M","23","Single","Other","5","false","true"
"Perugia","PG","Italy","M","42","Married","Other","4","false","true"
"Toledo","NA","Spain","F","43","Unspecified","Hospitality","2","true","false"
"Brussel","NA","Belgium","M","35","Married","Other","7","false","true"
"São Gonçalo","BR-RJ","Brazil","M","29","Single","Sales","7","false","true"
"Pamplona","NA","Spain","M","35","Married","Trades","7","false","true"
"Magnitogorsk","NA","Russia","F","35","Married","Other","7","false","true"
"Jersey City","NJ","United States","M","27","Single","Other","7","false","true"
"Lahti","NA","Finland","M","28","Single","Professional","5","false","true"
"Tampico","NA","Mexico","F","49","Married","Other","4","false","true"
"Monterey","NA","Mexico","M","20","Single","Executive","6","false","true"
"Puerto Vallarta","NA","Mexico","M","26","Single","Sales","7","false","true"
"Guangzhou","NA","China","M","27","Single","Sales","6","false","true"
"Beijing","NA","China","M","20","Single","Sales","9","false","true"
"Albany","NY","United States","M","21","Single","Sales","8","false","true"
"Esbjerg","NA","Denmark","F","46","Married","Executive","8","false","true"
"Changchun","NA","China","M","20","Single","Professional","4","false","true"
"St. John's","NL","Canada","F","46","Married","Hospitality","9","false","true"
"Basel","NA","Switzerland","M","27","Single","Professional","8","false","true"
"Flin Flon","MB","Canada","M","19","Single","Professional","6","false","true"
"Chongqing","NA","China","M","26","Single","Professional","6","false","true"
"Medina","MN","United States","M","23","Single","Sales","8","false","true"
"Dallas","PA","United States","M","24","Single","Sales","5","false","true"
"Eskilstuna","NA","Sweden","F","26","Single","Other","7","false","true"
"Crestwood","KY","United States","M","19","Single","Sales","5","false","true"
"Frederikshavn","NA","Denmark","F","25","Married","Other","0","true","false"
"Tampa","FL","United States","M","33","Married","Executive","3","false","true"
"Porto Alegre","BR-RS","Brazil","F","23","Married","Other","1","true","false"
"Lyon","NA","France","F","37","Married","Other","9","false","true"
"Perth","WA","Australia","M","33","Married","Sales","6","false","true"
"Lambeth","NA","United Kingdom","M","33","Married","Trades","2","true","true"
"Singapore","Singapore","Singapore","M","38","Married","Professional","5","false","true"
"Logroño","NA","Spain","F","35","Married","Other","1","true","false"
"Lausanne","NA","Switzerland","M","34","Single","Other","6","false","true"
"Warsaw","IA","United States","M","26","Single","Other","11","false","true"
"Niterói","BR-RJ","Brazil","F","29","Single","Other","3","true","false"
"Brussel","NA","Belgium","M","26","Married","Other","2","false","true"
"Dijon","NA","France","F","24","Single","Other","7","false","true"
"Chongqing","NA","China","F","47","Married","Other","1","true","true"
"Bern","NA","Switzerland","M","34","Single","Other","3","false","true"
"Rennes","NA","France","F","33","Single","Retail","2","true","false"
"Fussa","NA","Japan","F","36","Married","Retail","2","true","false"
"Delhi","DL","India","M","22","Single","Trades","6","false","true"
"Burlington","NC","United States","F","21","Married","Retail","1","true","true"
"Hempstead","NY","United States","M","36","Married","Sales","9","false","true"
"São João de Meriti","BR-RJ","Brazil","F","45","Married","Hospitality","0","true","false"
"Aachen","NA","Germany","F","38","Unspecified","Hospitality","2","true","false"
"Urbandale","IA","United States","F","22","Married","Other","3","true","false"
"Padova","NA","Italy","M","38","Married","Executive","7","false","true"
"Clarence Center","NY","United States","F","34","Married","Retail","0","true","false"
"Singapore","Singapore","Singapore","F","45","Married","Other","1","true","false"
"Blackpool","NA","United Kingdom","F","39","Married","Other","3","true","true"
"Fukuoka","NA","Japan","M","28","Single","Student","7","false","true"
"Whitehorse","YT","Canada","M","26","Single","Executive","9","false","true"
"Lausanne","NA","Switzerland","F","43","Unspecified","Hospitality","3","true","false"
"Melk","NA","Austria","F","45","Married","Executive","6","false","true"
"Patuxent River","MD","United States","F","36","Married","Other","2","true","false"
"Hong Kong","NA","China","M","27","Single","Other","5","false","true"
"San Jose","CA","United States","F","34","Married","Executive","1","true","true"
"Perugia","NA","Italy","F","28","Married","Retail","10","false","true"
"Vladivostok","NA","Russia","M","39","Married","Professional","8","false","true"
"Chatham","ON","Canada","M","33","Unspecified","Sales","4","false","true"
"Suwon","NA","Korea","M","29","Married","Executive","8","false","true"
"São Bernardo do Campo","BR-SP","Brazil","F","28","Married","Retail","2","true","false"
"Nottingham","NA","United Kingdom","M","30","Single","Other","5","false","true"
"Lübeck","NA","Germany","M","20","Single","Trades","6","false","true"
"Niquelândia","BR-GO","Brazil","F","36","Married","Other","2","true","true"
"Logroño","NA","Spain","F","31","Married","Other","3","false","true"
"Singapore","Singapore","Singapore","F","36","Married","Other","2","true","false"
"Parma","NA","Italy","M","38","Married","Sales","11","false","true"
"Dzerzhinsk","NA","Russia","M","28","Single","Other","6","false","true"
"Barcelona","B","Spain","M","20","Single","Trades","9","false","true"
"Cancún","NA","Mexico","F","44","Married","Executive","2","true","true"
"Salisbury","NA","United Kingdom","M","29","Married","Executive","5","false","true"
"Sedaví","NA","Spain","M","27","Single","Other","8","false","true"
"Breda","NA","Netherlands","F","21","Married","Retail","0","true","false"
"Melbourne","Vic","Australia","M","27","Single","Professional","7","false","true"
"Chiba","NA","Japan","M","24","Single","Executive","6","false","true"
"Napoli","NA","Italy","M","20","Single","Sales","4","false","true"
"Bonn","NA","Germany","M","44","Married","Trades","7","false","true"
"Donalds","SC","United States","M","22","Single","Professional","5","false","true"
"Oakland","CA","United States","M","29","Single","Student","1","false","true"
"Singapore","Singapore","Singapore","M","23","Single","Other","4","false","true"
"Eskilstuna","NA","Sweden","M","28","Single","Professional","9","false","true"
"Krems","NA","Austria","F","45","Married","Executive","8","false","true"
"Kawasaki","NA","Japan","M","38","Single","Executive","9","false","true"
"Burnaby","BC","Canada","F","44","Married","Retired","4","false","true"
"Iqaluit","NU","Canada","M","38","Married","Other","6","false","true"
"Bonn","NA","Germany","F","44","Married","Other","6","false","true"
"Köln","NA","Germany","M","45","Married","Other","8","false","true"
"Utrecht","NA","Netherlands","M","41","Married","Other","6","false","true"
"Bielefeld","NA","Germany","F","35","Unspecified","Hospitality","2","true","false"
"Wiarton","ON","Canada","M","31","Single","Other","11","false","true"
"Niquelândia","BR-GO","Brazil","M","44","Married","Other","6","false","true"
"Machida","NA","Japan","M","39","Married","Executive","2","false","true"
"Fuxin","NA","China","M","22","Single","Student","3","false","true"
"São Gonçalo","BR-RJ","Brazil","F","49","Married","Executive","6","false","true"
"Leoben","NA","Austria","M","28","Single","Trades","5","false","true"
"Mäntsälä","NA","Finland","M","25","Single","Professional","5","false","true"
"San Pedro Garza García","NA","Mexico","M","37","Married","Sales","6","false","true"
"Bern","NA","Switzerland","M","36","Married","Professional","6","false","true"
"Changsha","NA","China","F","26","Single","Other","4","false","true"
"Utrecht","NA","Netherlands","M","25","Single","Executive","6","false","true"
"Tokyo","NA","Japan","F","34","Married","Executive","2","true","true"
"Singapore","Singapore","Singapore","F","39","Married","Other","1","true","false"
"Brisbane","Qld","Australia","F","20","Married","Other","3","true","false"
"Medina","MN","United States","F","32","Married","Other","2","true","false"
"Wuhan","NA","China","M","30","Married","Executive","10","false","true"
"Yellowknife","NT","Canada","M","24","Single","Other","7","false","true"
"Nashville","TN","United States","M","19","Single","Sales","7","false","true"
"São Paulo","BR-SP","Brazil","F","36","Married","Other","0","true","true"
"Nancy","NA","France","F","42","Married","Other","1","true","true"
"Berlin","NA","Germany","M","26","Single","Other","8","false","true"
"Clermont-Ferrand","NA","France","F","33","Married","Hospitality","1","true","true"
"Catania","CT","Italy","M","20","Single","Trades","5","false","true"
"Bellinzona","NA","Switzerland","F","41","Unspecified","Hospitality","1","true","false"
"Oak Harbor","WA","United States","M","33","Single","Other","8","false","true"
"Bielefeld","NA","Germany","F","35","Single","Retail","5","false","true"
"Los Angeles","CA","United States","M","23","Single","Sales","5","false","true"
"Lafayette","IN","United States","F","47","Married","Other","5","false","true"
"New Delhi","NCT","India","M","26","Single","Trades","2","true","false"
"Kasugai","NA","Japan","F","47","Married","Hospitality","7","false","true"
"Innsbruck","NA","Austria","M","29","Single","Professional","5","false","true"
"Dijon","NA","France","M","21","Single","Trades","2","false","true"
"Kyoto","NA","Japan","F","25","Married","Retail","1","true","false"
"Redbridge","NA","United Kingdom","M","30","Married","Executive","7","false","true"
"Sendai","NA","Japan","M","25","Single","Professional","5","false","true"
"Hadano","NA","Japan","M","21","Single","Trades","5","false","true"
"San Luis","NA","Mexico","F","41","Married","Other","4","false","true"
"Brisbane","Qld","Australia","M","28","Single","Professional","5","false","true"
"Mulhouse","NA","France","F","33","Unspecified","Professional","1","true","false"
"Perpignan","NA","France","M","25","Single","Trades","6","false","true"
"Inta","NA","Russia","F","36","Married","Executive","5","false","true"
"Perth","WA","Australia","M","34","Married","Executive","5","false","true"
"Adelaide","SA","Australia","M","27","Single","Trades","4","false","true"
"Mäntsälä","NA","Finland","M","32","Single","Professional","11","false","true"
"San Bernardino","CA","United States","M","21","Single","Professional","7","false","true"
"Skive","NA","Denmark","M","25","Single","Other","10","false","true"
"Bellinzona","NA","Switzerland","F","29","Married","Retail","1","true","false"
"Sydney","NSW","Australia","F","33","Married","Retail","0","true","false"
"Dresden","NA","Germany","M","43","Married","Executive","6","false","true"
"Heihe","NA","China","F","33","Married","Hospitality","7","false","true"
"Croydon","NA","United Kingdom","M","23","Single","Professional","7","false","true"
"Changsha","NA","China","F","25","Married","Other","2","true","false"
"Dijon","NA","France","F","46","Married","Other","5","false","true"
"Brisbane","Qld","Australia","M","25","Single","Trades","8","false","true"
"Ajmer","NA","India","F","37","Unspecified","Other","1","true","false"
"Roma","ROMA","Italy","F","39","Unspecified","Other","0","true","false"
"Naperville","IL","United States","M","38","Married","Trades","0","true","false"
"Petrópolis","BR-RJ","Brazil","F","35","Unspecified","Hospitality","9","false","true"
"Wels","NA","Austria","M","26","Single","Professional","7","false","true"
"Marietta","GA","United States","M","24","Single","Trades","7","false","true"
"Manaus","BR-AM","Brazil","M","21","Single","Student","7","false","true"
"St. Louis","MO","United States","M","20","Single","Other","5","false","true"
"Cuernavaca","NA","Mexico","M","33","Married","Executive","8","false","true"
"Hiroshima","NA","Japan","M","42","Married","Sales","4","false","true"
"Melbourne","Vic","Australia","F","38","Married","Executive","6","false","true"
"Bielefeld","NA","Germany","M","44","Married","Other","5","false","true"
"Wadsworth","OH","United States","F","42","Married","Other","2","true","false"
"Adelaide","SA","Australia","F","24","Married","Other","6","false","true"
"Shimla","HP","India","F","31","Married","Executive","0","true","true"
"Manaus","BR-AM","Brazil","F","36","Married","Other","0","true","false"
"Genève","NA","Switzerland","M","40","Married","Trades","4","false","true"
"Besancon","NA","France","F","45","Married","Executive","5","false","true"
"Torreón","NA","Mexico","M","29","Single","Other","9","false","true"
"Stuttgart","NA","Germany","F","42","Married","Executive","1","false","true"
"Manaus","BR-AM","Brazil","M","30","Married","Sales","1","true","false"
"Puerto Vallarta","NA","Mexico","M","23","Single","Executive","7","false","true"
"Düsseldorf","NA","Germany","F","21","Married","Other","1","true","false"
"Esbjerg","NA","Denmark","F","40","Married","Other","2","true","false"
"Cortland","NY","United States","M","42","Married","Sales","0","true","false"
"Guarulhos","BR-SP","Brazil","M","41","Married","Other","9","false","true"
"Verona","VR","Italy","M","41","Married","Other","7","false","true"
"Birmingham","NA","United Kingdom","F","36","Married","Other","2","true","false"
"Sakai","NA","Japan","F","24","Single","Retail","6","false","true"
"Nancy","NA","France","M","37","Married","Trades","6","false","true"
"Singapore","Singapore","Singapore","M","23","Single","Trades","7","false","true"
"Chelmsford","NA","United Kingdom","F","28","Single","Other","2","true","true"
"Yarmouth","NS","Canada","M","25","Single","Professional","3","false","true"
"Nagaur","RJ","India","F","31","Married","Executive","8","false","true"
"Napoli","NA","Italy","M","32","Married","Other","9","false","true"
"Chengdu","NA","China","M","30","Single","Sales","5","false","true"
"Exeter","NA","United Kingdom","M","27","Single","Professional","5","false","true"
"Chesterfield","NA","United Kingdom","M","19","Single","Other","5","false","true"
"Evergem","NA","Belgium","M","29","Single","Trades","6","false","true"
"Navegantes","BR-SC","Brazil","M","21","Single","Executive","3","false","true"
"Sydney","NSW","Australia","F","24","Single","Student","5","false","true"
"Itajaí","BR-SC","Brazil","M","23","Single","Other","7","false","true"
"Saltillo","NA","Mexico","M","29","Single","Professional","5","false","true"
"Suwa","NA","Japan","M","36","Married","Trades","4","false","true"
"Sydney","NSW","Australia","F","23","Single","Other","1","true","false"
"Singapore","Singapore","Singapore","F","23","Single","Hospitality","6","false","true"
"Chengdu","NA","China","F","46","Married","Professional","4","false","true"
"Genève","NA","Switzerland","F","28","Married","Retail","2","true","false"
"Wien","NA","Austria","F","25","Married","Other","3","true","false"
"Singapore","Singapore","Singapore","F","20","Married","Other","2","true","false"
"Tokyo","NA","Japan","F","44","Married","Other","7","false","true"
"New York","NY","United States","F","31","Married","Other","3","true","false"
"Chatham","ON","Canada","F","46","Married","Hospitality","6","false","true"
"Loughton","NA","United Kingdom","F","31","Married","Other","1","true","false"
"Kazan","NA","Russia","M","26","Single","Trades","5","false","true"
"Würzburg","NA","Germany","M","33","Unspecified","Sales","6","false","true"
"Crossville","AL","United States","M","24","Single","Other","7","false","true"
"Kiel","NA","Germany","M","34","Single","Executive","5","false","true"
"Marseille","NA","France","F","36","Married","Other","2","true","false"
"Cuernavaca","NA","Mexico","F","47","Married","Hospitality","8","false","true"
"Jacksonville","FL","United States","F","39","Married","Retail","3","true","false"
"Torino","TO","Italy","F","37","Married","Retail","2","true","true"
"Beijing","NA","China","M","39","Married","Sales","3","true","true"
"Aalst","NA","Belgium","M","29","Single","Professional","3","true","false"
"San Pedro Garza García","NA","Mexico","F","23","Married","Other","1","true","false"
"São Paulo","BR-SP","Brazil","F","44","Married","Other","2","false","true"
"Regensburg","NA","Germany","M","21","Single","Sales","5","false","true"
"Hasselt","NA","Belgium","F","45","Unspecified","Hospitality","8","false","true"
"Upper Marlboro","MD","United States","M","20","Single","Professional","5","false","true"
"Västerås","NA","Sweden","M","27","Married","Sales","5","false","true"
"Louisville","KY","United States","F","39","Married","Other","3","true","false"
"Fernie","BC","Canada","F","48","Married","Executive","6","false","true"
"Leipzig","NA","Germany","F","35","Married","Other","2","true","false"
"Plymouth","NA","United Kingdom","F","26","Married","Other","3","true","true"
"Timóteo","BR-MG","Brazil","M","38","Married","Sales","2","true","false"
"Aix-en-Provence","NA","France","M","32","Single","Professional","7","false","true"
"Milano","NA","Italy","M","37","Married","Trades","2","true","false"
"Dijon","NA","France","F","36","Married","Other","0","true","false"
"Enfield","NA","United Kingdom","M","42","Single","Other","7","false","true"
"Rennes","NA","France","F","33","Unspecified","Sales","7","false","true"
"Strasbourg","NA","France","F","23","Married","Other","2","true","false"
"Akola","NA","India","F","37","Married","Other","0","true","false"
"Wels","NA","Austria","F","29","Married","Retail","1","true","false"
"Reims","NA","France","F","19","Single","Other","7","false","true"
"Reading","NA","United Kingdom","F","24","Single","Other","2","true","false"
"Playa del Carmen","NA","Mexico","M","27","Single","Professional","7","false","true"
"Le Mans","NA","France","M","36","Unspecified","Sales","6","false","true"
"North Liberty","IA","United States","M","29","Single","Trades","1","false","true"
"Perth","WA","Australia","M","27","Single","Retail","10","false","true"
"Exeter","NA","United Kingdom","M","30","Married","Other","8","false","true"
"Salvador","BR-BA","Brazil","M","27","Single","Professional","1","true","false"
"Changsha","NA","China","M","41","Married","Sales","3","false","true"
"Blackpool","NA","United Kingdom","F","36","Unspecified","Hospitality","6","false","true"
"Graz","NA","Austria","F","25","Single","Other","8","false","true"
"Atlanta","GA","United States","M","20","Single","Trades","6","false","true"
"Sacramento","CA","United States","F","26","Married","Other","0","true","false"
"St Paul","MN","United States","F","33","Unspecified","Other","2","true","false"
"Dübendorf","NA","Switzerland","M","22","Single","Sales","10","false","true"
"Zaragoza","NA","Spain","M","30","Single","Executive","9","false","true"
"Wayne","NE","United States","M","22","Single","Professional","4","false","true"
"Salerno","NA","Italy","F","31","Married","Other","2","true","true"
"Stuttgart","NA","Germany","F","39","Unspecified","Hospitality","6","false","true"
"Clermont-Ferrand","NA","France","M","34","Married","Other","6","false","true"
"Bahadurgarh","HR","India","M","27","Single","Student","7","false","true"
"Firenze","FI","Italy","F","47","Married","Executive","9","false","true"
"Beijing","NA","China","M","26","Single","Trades","10","false","true"
"Bilbao","BI","Spain","F","38","Married","Other","2","true","false"
"Salmon Arm","BC","Canada","F","27","Unspecified","Professional","1","true","false"
